Category,Requirement,Certified,Non-Certified,,,
Platform,Supported ServiceNow Version,"Washington, Xanadu, Yokohama, Zurich","Washington, Xanadu, Yokohama, Zurich",,,
Access,Admin Access,Required,Required,,,
Access Scope,Global Scope Access,Required for setup only,Required for setup + ongoing table configuration,,,
Integration User,Dedicated Account,Required,Required,,,
Authentication,OAuth 2.0,Required,Required,,,
Authentication,Identity Type,Standard (no constraint),Must be Human during onboarding (OAuth constraint),,,
Network,IP Allowlisting,Required (if restrictions enabled),Required (if restrictions enabled),,,
Application Install,Installation Method,ServiceNow Store (Certified App),Manual XML Update Set + Config import,,,
Application Install,Guided Setup,Required,Required,,,
Permissions Model,Access Control,Scoped application roles only (x_apom_*),Scoped roles + additional global table access changes,,,
Threat Detection,Capability,Partial,Full,,,
Threat Detection,System Event Access (sysevent),Not required / not supported,Must enable read access + all application scopes,,,
Threat Detection,Role Audit Logging,Optional / limited,Must enable (glide.role_management.v2.audit_roles = true),,,
Plugin Dependency,Role Management V2,Optional,Required for role audit,,,
Logging Access,"Audit Tables (sys_audit, sys_audit_role)",Limited / scoped,Expanded usage required,,,
Performance,Database Indexing,Not required,"Recommended (sysevent, sys_audit)",,,
Integration Config,Monitored Service Setup,Standard,Standard,,,
Integration Config,Outbound Auth Token,Required (v2.4.11+),Required (v2.3.0+),,,
Optional (AI Security),AgentGuard Permissions,Supported within app constraints,May require additional read/write table access,,,
Security Model,Data Exposure Risk,Low (scoped access),Medium–High (global table access exposure),,,
Security Model,Least Privilege Alignment,Strong,Weakened (platform-level access changes),,,
Governance,Risk Acceptance Required,Typically no,Yes (due to expanded access model),,,
Compliance,GxP / Validation Impact,Easier to justify,Requires justification and controls,,,
